Id,choose
10000,0.000000
10001,0.000000
10002,0.000000
10003,0.000000
10004,0.000000
10005,0.000000
10006,0.000000
10007,0.000000
10008,0.000000
10009,0.000000
10010,0.000000
10011,0.000000
10012,0.000000
10013,0.000000
10014,0.000000
10015,0.000000
10016,0.000000
10017,0.000000
10018,0.000000
10019,0.000000
10020,0.000000
10021,0.974968
10022,0.000000
10023,0.000000
10024,0.000000
10025,0.000000
10026,0.000000
10027,0.000000
10028,0.000000
10029,0.000000
10030,0.974968
10031,0.000000
10032,0.000000
10033,0.000000
10034,0.000000
10035,0.000000
10036,0.000000
10037,0.000000
10038,0.000000
10039,0.000000
10040,0.000000
10041,0.000000
10042,0.000000
10043,0.000000
10044,0.000000
10045,0.000000
10046,0.000000
10047,0.000000
10048,0.000000
10049,0.000000
10050,0.000000
10051,0.000000
10052,0.000000
10053,0.000000
10054,0.000000
10055,0.000000
10056,0.000000
10057,0.000000
10058,0.000000
10059,0.000000
10060,0.000000
10061,0.000000
10062,0.000000
10063,0.000000
10064,0.000000
10065,0.000000
10066,0.000000
10067,0.000000
10068,0.000000
10069,0.000000
10070,0.000000
10071,0.000000
10072,0.000000
10073,0.000000
10074,0.000000
10075,0.000000
10076,0.000000
10077,0.000000
10078,0.000000
10079,0.000000
10080,0.000000
10081,0.000000
10082,0.000000
10083,0.000000
10084,0.000000
10085,0.000000
10086,0.000000
10087,0.000000
10088,0.000000
10089,0.000000
10090,0.000000
10091,0.000000
10092,0.000000
10093,0.000000
10094,0.000000
10095,0.000000
10096,0.000000
10097,0.000000
10098,0.000000
10099,0.000000
10100,0.000000
10101,0.974968
10102,0.000000
10103,0.000000
10104,0.000000
10105,0.000000
10106,0.000000
10107,0.000000
10108,0.000000
10109,0.000000
10110,0.000000
10111,0.000000
10112,0.000000
10113,0.000000
10114,0.000000
10115,0.000000
10116,0.000000
10117,0.000000
10118,0.000000
10119,0.000000
10120,0.000000
10121,0.000000
10122,0.000000
10123,0.000000
10124,0.000000
10125,0.000000
10126,0.000000
10127,0.000000
10128,0.000000
10129,0.000000
10130,0.000000
10131,0.000000
10132,0.000000
10133,0.000000
10134,0.000000
10135,0.000000
10136,0.000000
10137,0.000000
10138,0.000000
10139,0.000000
10140,0.000000
10141,0.000000
10142,0.000000
10143,0.000000
10144,0.000000
10145,0.000000
10146,0.000000
10147,0.000000
10148,0.000000
10149,0.000000
10150,0.000000
10151,0.000000
10152,0.000000
10153,0.000000
10154,0.000000
10155,0.000000
10156,0.000000
10157,0.000000
10158,0.000000
10159,0.000000
10160,0.000000
10161,0.000000
10162,0.000000
10163,0.000000
10164,0.000000
10165,0.000000
10166,0.000000
10167,0.000000
10168,0.000000
10169,0.000000
10170,0.000000
10171,0.000000
10172,0.000000
10173,0.000000
10174,0.000000
10175,0.000000
10176,0.000000
10177,0.000000
10178,0.000000
10179,0.000000
10180,0.000000
10181,0.000000
10182,0.000000
10183,0.000000
10184,0.000000
10185,0.000000
10186,0.000000
10187,0.000000
10188,0.000000
10189,0.000000
10190,0.000000
10191,0.000000
10192,0.000000
10193,0.000000
10194,0.000000
10195,0.000000
10196,0.000000
10197,0.000000
10198,0.000000
10199,0.000000
10200,0.000000
10201,0.000000
10202,0.000000
10203,0.000000
10204,0.000000
10205,0.000000
10206,0.000000
10207,0.000000
10208,0.000000
10209,0.000000
10210,0.000000
10211,0.000000
10212,0.000000
10213,0.000000
10214,0.000000
10215,0.000000
10216,0.000000
10217,0.000000
10218,0.000000
10219,0.000000
10220,0.000000
10221,0.000000
10222,0.000000
10223,0.000000
10224,0.000000
10225,0.000000
10226,0.000000
10227,0.000000
10228,0.000000
10229,0.000000
10230,0.000000
10231,0.000000
10232,0.000000
10233,0.000000
10234,0.000000
10235,0.000000
10236,0.000000
10237,0.000000
10238,0.000000
10239,0.000000
10240,0.000000
10241,0.000000
10242,0.000000
10243,0.000000
10244,0.000000
10245,0.000000
10246,0.000000
10247,0.000000
10248,0.000000
10249,0.000000
10250,0.000000
10251,0.000000
10252,0.000000
10253,0.000000
10254,0.000000
10255,0.000000
10256,0.000000
10257,0.000000
10258,0.000000
10259,0.000000
10260,0.000000
10261,0.000000
10262,0.000000
10263,0.000000
10264,0.000000
10265,0.000000
10266,0.000000
